ts_iso,pps_actual,pps_forecast,current_replicas,desired_replicas,action,scale_executed
2026-03-26T22:29:23+00:00,0.0,0.0,1,1,hold,False
2026-03-26T22:29:31+00:00,0.0,0.0,1,1,hold,False
2026-03-26T22:29:40+00:00,55.72,55.72,1,1,hold,False
2026-03-26T22:29:50+00:00,888.96,888.96,1,1,hold,False
2026-03-26T22:29:59+00:00,1722.4,1722.4,1,1,hold,False
2026-03-26T22:30:08+00:00,2028.16,2028.16,1,1,hold,False
2026-03-26T22:30:17+00:00,1611.66,1611.66,1,1,hold,False
2026-03-26T22:30:26+00:00,1916.16,1916.16,1,1,hold,False
2026-03-26T22:30:35+00:00,3221.44,3221.44,1,1,hold,False
2026-03-26T22:30:44+00:00,5207.94,5049.76,1,2,scale_up,False
2026-03-26T22:30:54+00:00,4070.92,1409.47,1,1,hold,False
2026-03-26T22:31:01+00:00,3051.12,3760.63,1,1,hold,False
2026-03-26T22:31:10+00:00,1801.46,2931.7,1,1,hold,False
2026-03-26T22:31:19+00:00,1688.61,1807.91,1,1,hold,False
2026-03-26T22:31:28+00:00,2061.76,1774.52,1,1,hold,False
2026-03-26T22:31:37+00:00,1228.6,843.9,1,1,hold,False
