ts,actual_pps,predicted_pps,predicted_pps_avg,actual_replicas,predicted_replicas,replica_match
2026-03-24 19:48:49+00:00,1600.7440297611904,1888.36,1568.3,1,1,True
2026-03-24 19:48:54+00:00,1307.4,1600.74,1600.74,1,1,True
2026-03-24 19:48:59+00:00,1932.2827086916525,1268.26,1325.39,1,1,True
2026-03-24 19:49:05+00:00,2557.4000000000005,2990.31,3382.22,1,1,True
2026-03-24 19:49:09+00:00,3248.1900723971044,2681.23,2264.97,1,1,True
2026-03-24 19:49:15+00:00,4289.7484100635975,3736.78,3998.41,1,1,True
2026-03-24 19:49:19+00:00,5208.32,5176.9,5724.12,1,2,False
2026-03-24 19:49:25+00:00,5085.4800000000005,5645.04,5899.86,1,2,False
2026-03-24 19:49:29+00:00,4043.8,4704.87,4521.43,1,2,False
2026-03-24 19:49:35+00:00,3035.921436857474,2898.59,2367.32,1,1,True
2026-03-24 19:49:39+00:00,2411.0564422576904,2522.39,2620.79,1,1,True
2026-03-24 19:49:45+00:00,1785.848566057358,2241.83,2503.98,1,1,True
2026-03-24 19:49:49+00:00,1283.7313492539702,1367.1,1400.25,1,1,True
2026-03-24 19:49:55+00:00,1700.4519819207233,1123.42,1297.95,1,1,True
2026-03-24 19:49:59+00:00,2083.2366705331788,2585.1,3212.96,1,1,True
2026-03-24 19:50:04+00:00,2050.037998480061,2204.94,2291.37,1,1,True
2026-03-24 19:50:09+00:00,1633.4400000000005,1978.46,1967.36,1,1,True
2026-03-24 19:50:14+00:00,1260.7495700171994,1194.77,1039.98,1,1,True
2026-03-24 19:50:19+00:00,1885.635425417017,1119.04,1159.57,1,1,True
2026-03-24 19:50:24+00:00,2511.1395544178235,2773.59,3125.39,1,1,True
2026-03-24 19:50:29+00:00,3167.6,2680.24,2677.98,1,1,True
2026-03-24 19:50:34+00:00,4209.408376335054,3682.36,3741.11,1,1,True
2026-03-24 19:50:39+00:00,5207.12,4929.64,4990.34,1,2,False
2026-03-24 19:50:44+00:00,5163.4400000000005,5732.09,5675.72,1,2,False
2026-03-24 19:50:49+00:00,4121.609728778302,4494.3,3885.1,1,1,True
2026-03-24 19:50:54+00:00,3081.236750529979,3007.37,2393.24,1,1,True
2026-03-24 19:50:59+00:00,2039.72,2425.47,2215.82,2,1,False
2026-03-24 19:51:04+00:00,997.92,1253.03,1114.27,2,1,False
2026-03-24 19:51:09+00:00,0.0,389.98,421.47,2,1,False
2026-03-24 19:51:14+00:00,0.0,0.0,0.0,2,1,False
2026-03-24 19:51:19+00:00,0.0,735.58,1519.37,2,1,False
2026-03-24 19:51:24+00:00,0.0,0.0,298.95,2,1,False
2026-03-24 19:51:29+00:00,0.0,288.13,724.65,2,1,False
2026-03-24 19:51:34+00:00,0.0,122.43,464.59,2,1,False
2026-03-24 19:51:39+00:00,0.0,183.9,535.27,2,1,False
2026-03-24 19:51:44+00:00,0.0,135.62,449.79,2,1,False
2026-03-24 19:51:49+00:00,0.0,146.59,451.32,2,1,False
