ts_iso,pps_actual,current_replicas,desired_replicas,dqn_action,scale_executed
2026-03-28T15:28:07+00:00,0.0,1,1,hold,False
2026-03-28T15:28:16+00:00,157.53,1,1,hold,False
2026-03-28T15:28:25+00:00,574.22,1,1,hold,False
2026-03-28T15:28:34+00:00,1407.58,1,1,hold,False
2026-03-28T15:28:43+00:00,2083.36,1,1,hold,False
2026-03-28T15:28:52+00:00,1509.78,1,1,hold,False
2026-03-28T15:29:01+00:00,1021.64,1,1,hold,False
2026-03-28T15:29:10+00:00,1646.85,1,1,hold,False
2026-03-28T15:29:18+00:00,3470.26,1,1,hold,False
2026-03-28T15:29:27+00:00,5208.65,1,2,scale_up,True
2026-03-28T15:29:36+00:00,3821.84,2,1,scale_down,False
2026-03-28T15:29:45+00:00,2780.16,2,1,scale_down,False
2026-03-28T15:29:54+00:00,1232.6,2,1,scale_down,True
2026-03-28T15:30:04+00:00,1369.24,1,1,hold,False
2026-03-28T15:30:13+00:00,2083.27,1,1,hold,False
2026-03-28T15:30:22+00:00,1548.1,1,1,hold,False
2026-03-28T15:30:31+00:00,1131.32,1,1,hold,False
2026-03-28T15:30:40+00:00,1848.75,1,1,hold,False
2026-03-28T15:30:49+00:00,4050.6,1,2,scale_up,True
2026-03-28T15:30:58+00:00,5350.19,2,2,hold,False
2026-03-28T15:31:07+00:00,2850.29,2,1,scale_down,False
2026-03-28T15:31:16+00:00,349.76,2,1,scale_down,True
2026-03-28T15:31:25+00:00,0.25,1,1,hold,False
2026-03-28T15:31:34+00:00,0.0,1,1,hold,False
2026-03-28T15:31:43+00:00,0.0,1,1,hold,False
2026-03-28T15:31:52+00:00,0.0,1,1,hold,False
2026-03-28T15:32:01+00:00,0.0,1,1,hold,False
2026-03-28T15:32:10+00:00,0.0,1,1,hold,False
