episode,total_reward
0,-1607.0
1,-1285.0
2,-2838.0
3,-2608.0
4,-2126.0
5,-1650.0
6,-2320.0
7,-1702.0
8,-2550.0
9,-1257.0
10,-870.0
11,-1482.0
12,-1322.0
13,-1406.0
14,-1084.0
15,-640.0
16,-1644.0
17,-1148.0
18,-389.0
19,-922.0
20,-1708.0
21,-824.0
22,-1116.0
23,-969.0
24,-478.0
25,-2635.0
26,-1533.0
27,-913.0
28,-1134.0
29,-1366.0
30,-390.0
31,-1408.0
32,-1163.0
33,-1087.0
34,-11.0
35,-202.0
36,136.0
37,-1304.0
38,-1389.0
39,-933.0
40,-985.0
41,-433.0
42,-443.0
43,-834.0
44,-332.0
45,-407.0
46,-156.0
47,356.0
48,-15.0
49,-690.0
50,-165.0
51,-892.0
52,-1082.0
53,26.0
54,-313.0
55,-639.0
56,-395.0
57,-246.0
58,-432.0
59,428.0
60,-625.0
61,290.0
62,-1175.0
63,465.0
64,-531.0
65,-1061.0
66,352.0
67,-582.0
68,625.0
69,434.0
70,88.0
71,-447.0
72,-280.0
73,417.0
74,498.0
75,361.0
76,376.0
77,128.0
78,-382.0
79,75.0
80,-5.0
81,434.0
82,-590.0
83,111.0
84,780.0
85,116.0
86,378.0
87,686.0
88,607.0
89,-30.0
90,571.0
91,746.0
92,584.0
93,-315.0
94,716.0
95,211.0
96,905.0
97,243.0
98,611.0
99,-423.0
100,565.0
101,129.0
102,207.0
103,653.0
104,633.0
105,119.0
106,-33.0
107,767.0
108,57.0
109,737.0
110,103.0
111,540.0
112,871.0
113,815.0
114,477.0
115,672.0
116,275.0
117,443.0
118,739.0
119,212.0
120,575.0
121,285.0
122,1054.0
123,1016.0
124,263.0
125,876.0
126,328.0
127,528.0
128,472.0
129,895.0
130,594.0
131,872.0
132,797.0
133,760.0
134,834.0
135,882.0
136,652.0
137,1159.0
138,613.0
139,572.0
140,769.0
141,595.0
142,919.0
143,663.0
144,900.0
145,922.0
146,724.0
147,974.0
148,598.0
149,1145.0
150,1043.0
151,967.0
152,1044.0
153,1025.0
154,526.0
155,1014.0
156,1026.0
157,564.0
158,998.0
159,983.0
160,1142.0
161,857.0
162,1015.0
163,1150.0
164,1078.0
165,1280.0
166,815.0
167,847.0
168,715.0
169,787.0
170,673.0
171,1217.0
172,959.0
173,937.0
174,563.0
175,1138.0
176,1040.0
177,1054.0
178,893.0
179,974.0
180,1045.0
181,1076.0
182,1197.0
183,1114.0
184,1033.0
185,769.0
186,995.0
187,909.0
188,1007.0
189,979.0
190,1087.0
191,1197.0
192,887.0
193,1232.0
194,1050.0
195,1243.0
196,1060.0
197,452.0
198,921.0
199,905.0
200,1326.0
