episode,total_reward
0,-2888.0
1,-2426.0
2,-2368.0
3,-2188.0
4,-2158.0
5,-1831.0
6,-1916.0
7,-2119.0
8,-1354.0
9,-949.0
10,-1189.0
11,-1573.0
12,-1496.0
13,-2132.0
14,-1183.0
15,-1779.0
16,-1516.0
17,-984.0
18,-2053.0
19,-793.0
20,-1528.0
21,-1797.0
22,-1242.0
23,-1730.0
24,-2198.0
25,-2297.0
26,-404.0
27,-762.0
28,-723.0
29,-2517.0
30,-972.0
31,-1228.0
32,-291.0
33,-498.0
34,-843.0
35,-781.0
36,-585.0
37,-1443.0
38,-1880.0
39,-1017.0
40,-782.0
41,-521.0
42,-877.0
43,-749.0
44,204.0
45,-221.0
46,150.0
47,271.0
48,-155.0
49,-748.0
50,-353.0
51,32.0
52,104.0
53,-430.0
54,-1256.0
55,-189.0
56,-32.0
57,-28.0
58,-409.0
59,-482.0
60,237.0
61,-390.0
62,-329.0
63,-1693.0
64,-1293.0
65,213.0
66,-171.0
67,-474.0
68,74.0
69,-20.0
70,-502.0
71,-370.0
72,421.0
73,179.0
74,488.0
75,420.0
76,-459.0
77,361.0
78,106.0
79,466.0
80,557.0
81,3.0
82,-181.0
83,948.0
84,-93.0
85,-2.0
86,-32.0
87,831.0
88,394.0
89,454.0
90,247.0
91,337.0
92,-448.0
93,565.0
94,839.0
95,473.0
96,696.0
97,473.0
98,12.0
99,686.0
100,-157.0
101,978.0
102,62.0
103,312.0
104,1114.0
105,355.0
106,538.0
107,516.0
108,468.0
109,546.0
110,437.0
111,12.0
112,611.0
113,875.0
114,864.0
115,135.0
116,831.0
117,923.0
118,442.0
119,788.0
120,1032.0
121,359.0
122,847.0
123,910.0
124,91.0
125,829.0
126,796.0
127,550.0
128,629.0
129,1072.0
130,626.0
131,992.0
132,984.0
133,829.0
134,862.0
135,874.0
136,399.0
137,955.0
138,887.0
139,1067.0
140,703.0
141,635.0
142,811.0
143,427.0
144,1062.0
145,733.0
146,875.0
147,1008.0
148,746.0
149,971.0
150,1044.0
151,845.0
152,246.0
153,1057.0
154,815.0
155,760.0
156,1022.0
157,1018.0
158,899.0
159,1268.0
160,909.0
161,1162.0
162,969.0
163,1215.0
164,1026.0
165,659.0
166,1007.0
167,385.0
168,1253.0
169,1044.0
170,850.0
171,724.0
172,629.0
173,1097.0
174,1189.0
175,1023.0
176,1056.0
177,813.0
178,1208.0
179,1253.0
180,1169.0
181,1228.0
182,1193.0
183,1268.0
184,1409.0
185,1186.0
186,1291.0
187,1051.0
188,906.0
189,1008.0
190,1235.0
191,534.0
192,1129.0
193,1020.0
194,1051.0
195,1019.0
196,1257.0
197,1335.0
198,894.0
199,1132.0
200,1142.0
201,1331.0
202,1166.0
203,1148.0
204,941.0
205,878.0
206,1158.0
207,1206.0
208,1249.0
209,955.0
210,1038.0
211,1413.0
212,1249.0
213,1221.0
214,1096.0
215,994.0
216,1058.0
217,1160.0
218,1188.0
219,943.0
220,1500.0
221,1144.0
222,1361.0
223,1167.0
224,1189.0
225,1296.0
226,1288.0
227,1224.0
228,972.0
229,1100.0
230,1319.0
231,1317.0
232,1062.0
233,1253.0
234,1200.0
235,1165.0
236,1284.0
237,1198.0
238,993.0
239,1140.0
240,1316.0
241,1184.0
242,1336.0
243,1303.0
244,1233.0
245,1376.0
246,1170.0
247,1323.0
248,1227.0
249,1430.0
250,1243.0
251,1341.0
252,1168.0
253,1078.0
254,1344.0
255,1253.0
256,1498.0
257,1163.0
258,1334.0
259,1279.0
260,1314.0
261,1207.0
262,1239.0
263,1418.0
264,1262.0
265,1394.0
266,1356.0
267,1409.0
268,1242.0
269,1384.0
270,1203.0
271,1306.0
272,1023.0
273,1176.0
274,1228.0
275,1370.0
276,1361.0
277,1350.0
278,1292.0
279,1339.0
280,1171.0
281,1196.0
282,1418.0
283,1338.0
284,1401.0
285,1330.0
286,1325.0
287,1471.0
288,1476.0
289,1451.0
290,1162.0
291,1193.0
292,1220.0
293,1380.0
294,1196.0
295,1456.0
296,1251.0
297,1425.0
298,1442.0
299,1398.0
300,1373.0
301,1404.0
302,1354.0
303,1469.0
304,1274.0
305,1420.0
306,1392.0
307,1503.0
308,1418.0
309,1442.0
310,1213.0
311,1293.0
312,1225.0
313,1322.0
314,1279.0
315,1459.0
316,1442.0
317,1467.0
318,1233.0
319,1431.0
320,1297.0
321,1529.0
322,1230.0
323,1265.0
324,1262.0
325,1391.0
326,1394.0
327,1432.0
328,1455.0
329,1481.0
330,1500.0
331,1575.0
332,1368.0
333,1534.0
334,1411.0
335,1379.0
336,1259.0
337,1270.0
338,1341.0
339,1442.0
340,1608.0
341,1550.0
342,1550.0
343,1436.0
344,1431.0
345,1425.0
346,1543.0
347,1497.0
348,1497.0
349,1377.0
350,1573.0
351,1385.0
352,1487.0
353,1496.0
354,1424.0
355,1514.0
356,1307.0
357,1573.0
358,1263.0
359,1513.0
360,1554.0
361,1586.0
362,1473.0
363,1432.0
364,1591.0
365,1380.0
366,1504.0
367,1482.0
368,1628.0
369,1345.0
370,1345.0
371,1590.0
372,1452.0
373,1626.0
374,1402.0
375,1555.0
376,1328.0
377,1430.0
378,1383.0
379,1376.0
380,1478.0
381,1389.0
382,1428.0
383,1604.0
384,1489.0
385,1448.0
386,1401.0
387,1539.0
388,1597.0
389,1453.0
390,1502.0
391,1518.0
392,1524.0
393,1369.0
394,1100.0
395,1325.0
396,1397.0
397,1645.0
398,1369.0
399,1492.0
400,1568.0
401,1532.0
402,1540.0
403,1489.0
404,1572.0
405,1375.0
406,1562.0
407,1644.0
408,1597.0
409,1518.0
410,1576.0
411,1492.0
412,1462.0
413,1502.0
414,1621.0
415,1488.0
416,1483.0
417,1540.0
418,1441.0
419,1441.0
420,1557.0
421,1534.0
422,1535.0
423,1463.0
424,1341.0
425,1492.0
426,1469.0
427,1680.0
428,1593.0
429,1572.0
430,1576.0
431,1622.0
432,1454.0
433,1528.0
434,1456.0
435,1459.0
436,1496.0
437,1534.0
438,1492.0
439,1546.0
440,1351.0
441,1437.0
442,1445.0
443,1528.0
444,1478.0
445,1503.0
446,1550.0
447,1590.0
448,1299.0
449,1470.0
450,1476.0
451,1553.0
452,1604.0
453,1386.0
454,1604.0
455,1541.0
456,1543.0
457,1550.0
458,1497.0
459,1447.0
460,1572.0
461,1532.0
462,1412.0
463,1492.0
464,1543.0
465,1676.0
466,1532.0
467,1452.0
468,1680.0
469,1626.0
470,1456.0
471,1582.0
472,1493.0
473,1541.0
474,1474.0
475,1576.0
476,1467.0
477,1540.0
478,1680.0
479,1587.0
480,1483.0
481,1579.0
482,1612.0
483,1474.0
484,1579.0
485,1662.0
486,1549.0
487,1579.0
488,1565.0
489,1597.0
490,1466.0
491,1604.0
492,1640.0
493,1527.0
494,1698.0
495,1572.0
496,1415.0
497,1533.0
498,1564.0
499,1547.0
500,1536.0
501,1417.0
502,1521.0
503,1604.0
504,1716.0
505,1521.0
506,1565.0
507,1541.0
508,1573.0
509,1594.0
510,1592.0
511,1582.0
512,1644.0
513,1492.0
514,1576.0
515,1528.0
516,1539.0
517,1492.0
518,1612.0
519,1529.0
520,1680.0
521,1540.0
522,1532.0
523,1443.0
524,1657.0
525,1663.0
526,1591.0
527,1640.0
528,1621.0
529,1698.0
530,1608.0
531,1564.0
532,1648.0
533,1546.0
534,1698.0
535,1546.0
536,1604.0
537,1586.0
538,1669.0
539,1590.0
540,1560.0
541,1645.0
542,1604.0
543,1593.0
544,1528.0
545,1608.0
546,1472.0
547,1546.0
548,1539.0
549,1546.0
550,1505.0
551,1680.0
552,1595.0
553,1593.0
554,1586.0
555,1594.0
556,1752.0
557,1488.0
558,1687.0
559,1594.0
560,1716.0
561,1518.0
562,1622.0
563,1698.0
564,1594.0
565,1568.0
566,1648.0
567,1680.0
568,1626.0
569,1587.0
570,1734.0
571,1694.0
572,1505.0
573,1604.0
574,1568.0
575,1612.0
576,1604.0
577,1680.0
578,1640.0
579,1622.0
580,1680.0
581,1622.0
582,1622.0
583,1550.0
584,1600.0
585,1622.0
586,1666.0
587,1658.0
588,1542.0
589,1605.0
590,1542.0
591,1528.0
592,1586.0
593,1640.0
594,1630.0
595,1456.0
596,1546.0
597,1582.0
598,1525.0
599,1586.0
600,1582.0
601,1506.0
602,1716.0
603,1564.0
604,1622.0
605,1524.0
606,1622.0
607,1752.0
608,1452.0
609,1564.0
610,1600.0
611,1669.0
612,1698.0
613,1680.0
614,1648.0
615,1622.0
616,1716.0
617,1546.0
618,1582.0
619,1612.0
620,1619.0
621,1648.0
622,1568.0
623,1600.0
624,1621.0
625,1636.0
626,1694.0
627,1546.0
628,1594.0
629,1666.0
630,1604.0
631,1622.0
632,1600.0
633,1591.0
634,1630.0
635,1680.0
636,1621.0
637,1734.0
638,1589.0
639,1510.0
640,1564.0
641,1651.0
642,1652.0
643,1569.0
644,1564.0
645,1658.0
646,1558.0
647,1600.0
648,1560.0
649,1698.0
650,1716.0
651,1604.0
652,1717.0
653,1622.0
654,1698.0
655,1576.0
656,1640.0
657,1582.0
658,1568.0
659,1712.0
660,1658.0
661,1622.0
662,1716.0
663,1630.0
664,1612.0
665,1552.0
666,1640.0
667,1630.0
668,1734.0
669,1568.0
670,1734.0
671,1630.0
672,1630.0
673,1622.0
674,1630.0
675,1640.0
676,1681.0
677,1612.0
678,1712.0
679,1528.0
680,1669.0
681,1528.0
682,1586.0
683,1612.0
684,1716.0
685,1543.0
686,1612.0
687,1600.0
688,1630.0
689,1622.0
690,1648.0
691,1693.0
692,1600.0
693,1666.0
694,1542.0
695,1716.0
696,1622.0
697,1485.0
698,1698.0
699,1630.0
700,1582.0
701,1626.0
702,1622.0
703,1680.0
704,1557.0
705,1752.0
706,1587.0
707,1542.0
708,1666.0
709,1640.0
710,1630.0
711,1612.0
712,1732.0
713,1698.0
714,1666.0
715,1648.0
716,1594.0
717,1565.0
718,1699.0
719,1734.0
720,1630.0
721,1752.0
722,1622.0
723,1666.0
724,1630.0
725,1648.0
726,1593.0
727,1582.0
728,1622.0
729,1600.0
730,1640.0
731,1612.0
732,1564.0
733,1564.0
734,1640.0
735,1640.0
736,1730.0
737,1612.0
738,1666.0
739,1752.0
740,1648.0
741,1622.0
742,1622.0
743,1640.0
744,1666.0
745,1640.0
746,1640.0
747,1543.0
748,1604.0
749,1734.0
750,1648.0
751,1658.0
752,1666.0
753,1636.0
754,1648.0
755,1666.0
756,1622.0
757,1647.0
758,1547.0
759,1658.0
760,1734.0
761,1582.0
762,1610.0
763,1640.0
764,1658.0
765,1582.0
766,1603.0
767,1698.0
768,1658.0
769,1620.0
770,1658.0
771,1564.0
772,1666.0
773,1734.0
774,1640.0
775,1752.0
776,1658.0
777,1669.0
778,1563.0
779,1630.0
780,1648.0
781,1622.0
782,1640.0
783,1613.0
784,1630.0
785,1648.0
786,1734.0
787,1640.0
788,1600.0
789,1658.0
790,1546.0
791,1734.0
792,1734.0
793,1658.0
794,1666.0
795,1520.0
796,1734.0
797,1565.0
798,1622.0
799,1517.0
800,1734.0
801,1658.0
802,1582.0
803,1582.0
804,1648.0
805,1658.0
806,1600.0
807,1658.0
808,1658.0
809,1666.0
810,1658.0
811,1640.0
812,1582.0
813,1734.0
814,1593.0
815,1546.0
816,1640.0
817,1564.0
818,1734.0
819,1752.0
820,1666.0
821,1600.0
822,1604.0
823,1543.0
824,1630.0
825,1648.0
826,1752.0
827,1752.0
828,1582.0
829,1640.0
830,1630.0
831,1666.0
832,1666.0
833,1630.0
834,1600.0
835,1699.0
836,1564.0
837,1640.0
838,1546.0
839,1658.0
840,1658.0
841,1734.0
842,1600.0
843,1535.0
844,1600.0
845,1666.0
846,1582.0
847,1658.0
848,1640.0
849,1752.0
850,1582.0
851,1734.0
852,1658.0
853,1734.0
854,1582.0
855,1648.0
856,1734.0
857,1658.0
858,1648.0
859,1658.0
860,1648.0
861,1582.0
862,1648.0
863,1734.0
864,1658.0
865,1629.0
866,1666.0
867,1752.0
868,1716.0
869,1560.0
870,1752.0
871,1734.0
872,1648.0
873,1648.0
874,1648.0
875,1648.0
876,1600.0
877,1752.0
878,1648.0
879,1600.0
880,1734.0
881,1734.0
882,1536.0
883,1734.0
884,1600.0
885,1640.0
886,1640.0
887,1546.0
888,1752.0
889,1666.0
890,1600.0
891,1666.0
892,1546.0
893,1637.0
894,1658.0
895,1752.0
896,1666.0
897,1600.0
898,1658.0
899,1630.0
900,1666.0
901,1648.0
902,1658.0
903,1705.0
904,1600.0
905,1658.0
906,1752.0
907,1643.0
908,1582.0
909,1600.0
910,1622.0
911,1734.0
912,1752.0
913,1666.0
914,1560.0
915,1658.0
916,1716.0
917,1613.0
918,1564.0
919,1582.0
920,1582.0
921,1658.0
922,1752.0
923,1658.0
924,1752.0
925,1752.0
926,1666.0
927,1658.0
928,1734.0
929,1666.0
930,1666.0
931,1640.0
932,1658.0
933,1600.0
934,1752.0
935,1752.0
