episode,total_reward
0,-791.0
1,-1055.0
2,-998.0
3,-519.0
4,-1509.0
5,-243.0
6,-765.0
7,-1118.0
8,-402.0
9,-889.0
10,-615.0
11,-808.0
12,-1051.0
13,-476.0
14,-946.0
15,-1289.0
16,-488.0
17,-982.0
18,-880.0
19,-243.0
20,-767.0
21,-830.0
22,-887.0
23,-41.0
24,-448.0
25,-101.0
26,-76.0
27,-925.0
28,-28.0
29,-618.0
30,-656.0
31,-59.0
32,-232.0
33,-842.0
34,-318.0
35,-1012.0
36,-44.0
37,221.0
38,-79.0
39,-989.0
40,103.0
41,-229.0
42,326.0
43,-22.0
44,-690.0
45,-350.0
46,-311.0
47,-450.0
48,-456.0
49,-192.0
50,-631.0
51,-304.0
52,240.0
53,-398.0
54,-201.0
55,-222.0
56,26.0
57,-516.0
58,-139.0
59,114.0
60,-193.0
61,166.0
62,166.0
63,-674.0
64,193.0
65,-527.0
66,-490.0
67,225.0
68,-299.0
69,257.0
70,-105.0
71,-221.0
72,-157.0
73,-124.0
74,114.0
75,109.0
76,62.0
77,111.0
78,271.0
79,-264.0
80,266.0
81,238.0
82,227.0
83,298.0
84,-53.0
85,273.0
86,-47.0
87,316.0
88,106.0
89,-13.0
90,337.0
91,-116.0
92,138.0
93,16.0
94,322.0
95,93.0
96,444.0
97,-74.0
98,109.0
99,107.0
100,451.0
101,527.0
102,161.0
103,396.0
104,146.0
105,103.0
106,6.0
107,541.0
108,358.0
109,223.0
110,445.0
111,246.0
112,363.0
113,251.0
114,238.0
115,-138.0
116,-203.0
117,77.0
118,474.0
119,581.0
120,214.0
121,600.0
122,318.0
123,-331.0
124,209.0
125,256.0
126,397.0
127,329.0
128,401.0
129,416.0
130,161.0
131,476.0
132,99.0
133,-150.0
134,34.0
135,293.0
136,-35.0
137,360.0
138,339.0
139,100.0
140,401.0
141,556.0
142,237.0
143,373.0
144,551.0
145,427.0
146,359.0
147,376.0
148,243.0
149,622.0
150,230.0
151,393.0
152,177.0
153,305.0
154,471.0
155,403.0
156,417.0
157,485.0
158,443.0
159,10.0
160,502.0
161,455.0
162,409.0
163,465.0
164,362.0
165,414.0
166,164.0
167,504.0
168,263.0
169,169.0
170,425.0
171,460.0
172,340.0
173,432.0
174,585.0
175,489.0
176,428.0
177,496.0
178,463.0
179,255.0
180,576.0
181,336.0
182,394.0
183,409.0
184,422.0
185,519.0
186,499.0
187,13.0
188,587.0
189,638.0
190,467.0
191,581.0
192,489.0
193,423.0
194,283.0
195,567.0
196,581.0
197,548.0
198,582.0
199,446.0
200,370.0
201,585.0
202,507.0
203,406.0
204,533.0
205,345.0
206,621.0
207,652.0
208,402.0
209,538.0
210,461.0
211,500.0
212,538.0
213,527.0
214,537.0
215,370.0
216,495.0
217,406.0
218,580.0
219,540.0
220,398.0
221,569.0
222,462.0
223,474.0
224,403.0
225,431.0
226,573.0
227,451.0
228,580.0
229,585.0
230,656.0
231,584.0
232,620.0
233,501.0
234,508.0
235,422.0
236,480.0
237,444.0
238,460.0
239,533.0
240,423.0
241,534.0
242,616.0
243,456.0
244,530.0
245,501.0
246,607.0
247,509.0
248,576.0
249,602.0
250,634.0
251,635.0
252,490.0
253,555.0
254,568.0
255,567.0
256,523.0
257,553.0
258,692.0
259,584.0
260,674.0
261,588.0
262,554.0
263,448.0
264,638.0
265,529.0
266,617.0
267,639.0
268,591.0
269,581.0
270,544.0
271,516.0
272,656.0
273,505.0
274,604.0
275,615.0
276,604.0
277,573.0
278,506.0
279,573.0
280,602.0
281,561.0
282,603.0
283,454.0
284,619.0
285,586.0
286,674.0
287,521.0
288,556.0
289,620.0
290,655.0
291,366.0
292,630.0
293,656.0
294,604.0
295,533.0
296,568.0
297,517.0
298,616.0
299,535.0
300,615.0
301,525.0
302,508.0
303,603.0
304,510.0
305,638.0
306,568.0
307,548.0
308,609.0
309,674.0
310,675.0
311,692.0
312,655.0
313,589.0
314,616.0
315,710.0
316,572.0
317,619.0
318,520.0
319,692.0
320,466.0
321,605.0
322,597.0
323,656.0
324,656.0
325,555.0
326,636.0
327,535.0
328,651.0
329,566.0
330,547.0
331,579.0
332,643.0
333,673.0
334,355.0
335,653.0
336,674.0
337,674.0
338,691.0
339,655.0
340,639.0
341,640.0
342,609.0
343,633.0
344,670.0
345,673.0
346,728.0
347,674.0
348,598.0
349,586.0
350,710.0
351,594.0
352,602.0
353,601.0
354,709.0
355,674.0
356,635.0
357,488.0
358,570.0
359,555.0
360,687.0
361,475.0
362,652.0
363,692.0
364,603.0
365,603.0
366,672.0
367,652.0
368,706.0
369,670.0
370,566.0
371,550.0
372,609.0
373,634.0
374,548.0
375,692.0
376,693.0
377,673.0
378,728.0
379,692.0
380,669.0
381,540.0
382,627.0
383,585.0
384,637.0
385,706.0
386,599.0
387,616.0
388,640.0
389,650.0
390,728.0
391,692.0
392,570.0
393,589.0
394,641.0
395,674.0
396,652.0
397,608.0
398,638.0
399,648.0
400,557.0
401,674.0
402,620.0
403,656.0
404,656.0
405,616.0
406,638.0
407,584.0
408,688.0
409,605.0
410,692.0
411,692.0
412,614.0
413,692.0
414,674.0
415,625.0
416,674.0
417,674.0
418,692.0
419,656.0
420,710.0
421,692.0
422,516.0
423,652.0
424,610.0
425,591.0
426,692.0
427,623.0
428,487.0
429,691.0
430,674.0
431,674.0
432,692.0
433,692.0
434,586.0
