episode,total_reward
0,-384.0
1,-538.0
2,37.0
3,64.0
4,-896.0
5,-934.0
6,-680.0
7,-344.0
8,-753.0
9,-626.0
10,-450.0
11,152.0
12,-334.0
13,-158.0
14,-531.0
15,-141.0
16,-339.0
17,52.0
18,-317.0
19,-616.0
20,42.0
21,-35.0
22,172.0
23,117.0
24,-92.0
25,-122.0
26,-268.0
27,-184.0
28,-382.0
29,-135.0
30,-545.0
31,-121.0
32,-411.0
33,54.0
34,-796.0
35,-475.0
36,65.0
37,-92.0
38,-548.0
39,61.0
40,164.0
41,-48.0
42,-72.0
43,-253.0
44,-255.0
45,18.0
46,216.0
47,-357.0
48,71.0
49,108.0
50,-330.0
51,-116.0
52,93.0
53,-244.0
54,-64.0
55,-139.0
56,107.0
57,130.0
58,121.0
59,-276.0
60,-638.0
61,40.0
62,125.0
63,173.0
64,-130.0
65,-280.0
66,-72.0
67,111.0
68,-25.0
69,116.0
70,190.0
71,177.0
72,190.0
73,-81.0
74,243.0
75,-434.0
76,-221.0
77,-2.0
78,276.0
79,260.0
80,133.0
81,221.0
82,65.0
83,248.0
84,119.0
85,144.0
86,342.0
87,-279.0
88,26.0
89,309.0
90,-113.0
91,383.0
92,134.0
93,-177.0
94,235.0
95,235.0
96,25.0
97,219.0
98,158.0
99,215.0
100,260.0
101,-64.0
102,-296.0
103,-5.0
104,237.0
105,179.0
106,181.0
107,169.0
108,16.0
109,-43.0
110,231.0
111,-63.0
112,167.0
113,272.0
114,162.0
115,99.0
116,223.0
117,-37.0
118,288.0
119,230.0
120,218.0
121,158.0
122,201.0
123,157.0
124,151.0
125,127.0
126,126.0
127,160.0
128,249.0
129,8.0
130,236.0
131,176.0
132,172.0
133,260.0
134,60.0
135,348.0
136,169.0
137,150.0
138,132.0
139,311.0
140,-133.0
141,202.0
142,299.0
143,352.0
144,329.0
145,248.0
146,72.0
147,313.0
148,-302.0
149,-41.0
150,199.0
151,234.0
152,211.0
153,315.0
154,137.0
155,401.0
156,266.0
157,425.0
158,-6.0
159,267.0
160,299.0
161,229.0
162,352.0
163,324.0
164,174.0
165,329.0
166,273.0
167,30.0
168,236.0
169,251.0
170,294.0
171,312.0
172,230.0
173,288.0
174,99.0
175,321.0
176,164.0
177,389.0
178,261.0
179,257.0
180,335.0
181,281.0
182,251.0
183,324.0
184,271.0
185,-6.0
186,187.0
187,229.0
