ts,actual_pps,actual_replicas,dqn_replicas,dqn_action,ideal_replicas,replica_match_hpa,replica_match_ideal,reward
2026-03-24 19:47:58+00:00,12.919483220671172,1,1,hold,1,True,True,10.0
2026-03-24 19:48:03+00:00,0.0,1,1,hold,1,True,True,10.0
2026-03-24 19:48:09+00:00,0.0,1,1,hold,1,True,True,10.0
2026-03-24 19:48:14+00:00,66.48,1,1,hold,1,True,True,10.0
2026-03-24 19:48:19+00:00,483.16,1,1,hold,1,True,True,10.0
2026-03-24 19:48:24+00:00,899.88,1,1,hold,1,True,True,10.0
2026-03-24 19:48:29+00:00,1316.5326613064522,1,1,hold,1,True,True,10.0
2026-03-24 19:48:34+00:00,1733.16,1,1,scale_down,1,True,True,10.0
2026-03-24 19:48:39+00:00,2083.32,1,1,scale_down,1,True,True,10.0
2026-03-24 19:48:44+00:00,2017.480699227969,1,1,scale_down,1,True,True,10.0
2026-03-24 19:48:49+00:00,1600.7440297611904,1,1,hold,1,True,True,10.0
2026-03-24 19:48:54+00:00,1307.4,1,1,hold,1,True,True,10.0
2026-03-24 19:48:59+00:00,1932.2827086916525,1,1,scale_down,1,True,True,10.0
2026-03-24 19:49:05+00:00,2557.4000000000005,1,1,scale_down,1,True,True,10.0
2026-03-24 19:49:09+00:00,3248.1900723971044,1,1,hold,1,True,True,10.0
2026-03-24 19:49:15+00:00,4289.7484100635975,1,2,scale_up,2,False,True,12.0
2026-03-24 19:49:19+00:00,5208.32,1,2,hold,2,False,True,10.0
2026-03-24 19:49:25+00:00,5085.4800000000005,1,2,hold,2,False,True,10.0
2026-03-24 19:49:29+00:00,4043.8,1,2,hold,2,False,True,10.0
2026-03-24 19:49:35+00:00,3035.921436857474,1,1,scale_down,1,True,True,12.0
2026-03-24 19:49:39+00:00,2411.0564422576904,1,1,scale_down,1,True,True,10.0
2026-03-24 19:49:45+00:00,1785.848566057358,1,1,hold,1,True,True,10.0
2026-03-24 19:49:49+00:00,1283.7313492539702,1,1,hold,1,True,True,10.0
2026-03-24 19:49:55+00:00,1700.4519819207233,1,1,scale_down,1,True,True,10.0
2026-03-24 19:49:59+00:00,2083.2366705331788,1,1,scale_down,1,True,True,10.0
2026-03-24 19:50:04+00:00,2050.037998480061,1,1,scale_down,1,True,True,10.0
2026-03-24 19:50:09+00:00,1633.4400000000005,1,1,hold,1,True,True,10.0
2026-03-24 19:50:14+00:00,1260.7495700171994,1,1,hold,1,True,True,10.0
2026-03-24 19:50:19+00:00,1885.635425417017,1,1,scale_down,1,True,True,10.0
2026-03-24 19:50:24+00:00,2511.1395544178235,1,1,scale_down,1,True,True,10.0
2026-03-24 19:50:29+00:00,3167.6,1,1,hold,1,True,True,10.0
2026-03-24 19:50:34+00:00,4209.408376335054,1,2,scale_up,2,False,True,12.0
2026-03-24 19:50:39+00:00,5207.12,1,2,hold,2,False,True,10.0
2026-03-24 19:50:44+00:00,5163.4400000000005,1,2,hold,2,False,True,10.0
2026-03-24 19:50:49+00:00,4121.609728778302,1,2,hold,2,False,True,10.0
2026-03-24 19:50:54+00:00,3081.236750529979,1,1,scale_down,1,True,True,12.0
2026-03-24 19:50:59+00:00,2039.72,2,1,hold,1,False,True,10.0
2026-03-24 19:51:04+00:00,997.92,2,1,hold,1,False,True,10.0
2026-03-24 19:51:09+00:00,0.0,2,1,scale_down,1,False,True,10.0
2026-03-24 19:51:14+00:00,0.0,2,1,hold,1,False,True,10.0
2026-03-24 19:51:19+00:00,0.0,2,1,hold,1,False,True,10.0
2026-03-24 19:51:24+00:00,0.0,2,1,hold,1,False,True,10.0
2026-03-24 19:51:29+00:00,0.0,2,1,hold,1,False,True,10.0
2026-03-24 19:51:34+00:00,0.0,2,1,hold,1,False,True,10.0
2026-03-24 19:51:39+00:00,0.0,2,1,hold,1,False,True,10.0
2026-03-24 19:51:44+00:00,0.0,2,1,hold,1,False,True,10.0
2026-03-24 19:51:49+00:00,0.0,2,1,hold,1,False,True,10.0
