ts_iso,pps_prom,hpa_replicas,hpa_current,hpa_target,deploy_ready,deploy_replicas
2026-05-17T11:59:49+01:00,0,4,0,1500,3/3,3
2026-05-17T11:59:54+01:00,0,4,0,1500,3/3,3
2026-05-17T11:59:58+01:00,0,3,0,1500,2/2,2
2026-05-17T12:00:04+01:00,0,3,0,1500,2/2,2
2026-05-17T12:00:08+01:00,0,3,0,1500,2/2,2
2026-05-17T12:00:14+01:00,0,2,0,1500,1/1,1
2026-05-17T12:00:19+01:00,0,2,0,1500,1/1,1
2026-05-17T12:00:25+01:00,0,2,0,1500,1/1,1
2026-05-17T12:00:31+01:00,NA,1,0,1500,1/1,1
2026-05-17T12:00:37+01:00,0,1,0,1500,1/1,1
2026-05-17T12:00:43+01:00,0,1,0,1500,1/1,1
2026-05-17T12:00:48+01:00,0,1,0,1500,1/1,1
2026-05-17T12:00:53+01:00,0,1,0,1500,1/1,1
2026-05-17T12:00:59+01:00,0,1,0,1500,1/1,1
2026-05-17T12:01:06+01:00,0,1,0,1500,1/1,1
2026-05-17T12:01:12+01:00,0,1,0,1500,1/1,1
2026-05-17T12:01:17+01:00,0,1,0,1500,1/1,1
2026-05-17T12:01:22+01:00,0,1,0,1500,1/1,1
2026-05-17T12:01:27+01:00,0,1,0,1500,1/1,1
2026-05-17T12:01:32+01:00,0,1,0,1500,1/1,1
2026-05-17T12:01:37+01:00,0.12,1,0,1500,1/1,1
2026-05-17T12:01:43+01:00,70.64282571302851,1,70642m,1500,1/1,1
2026-05-17T12:01:48+01:00,279,1,70642m,1500,1/1,1
2026-05-17T12:01:53+01:00,487.16,1,70642m,1500,1/1,1
2026-05-17T12:01:58+01:00,695.6678267130685,1,695667m,1500,1/1,1
2026-05-17T12:02:03+01:00,903.8838446462142,1,695667m,1500,1/1,1
2026-05-17T12:02:08+01:00,1041.48,1,695667m,1500,1/1,1
2026-05-17T12:02:13+01:00,971.7611295548179,1,971761m,1500,1/1,1
2026-05-17T12:02:18+01:00,763.64,1,971761m,1500,1/1,1
2026-05-17T12:02:23+01:00,555.16,1,971761m,1500,1/1,1
2026-05-17T12:02:28+01:00,580.8232329293171,1,580823m,1500,1/1,1
2026-05-17T12:02:33+01:00,1206.6000000000001,1,580823m,1500,1/1,1
2026-05-17T12:02:38+01:00,1901.2760510420417,1,580823m,1500,1/1,1
2026-05-17T12:02:44+01:00,2734.309372374895,1,2734309m,1500,1/2,1
2026-05-17T12:02:48+01:00,3302.36,1,2734309m,1500,2/2,2
2026-05-17T12:02:54+01:00,3068.197272109116,1,2734309m,1500,2/2,2
2026-05-17T12:02:58+01:00,3738.8860999999997,2,3976024m,1500,2/3,2
2026-05-17T12:03:04+01:00,3681.0304733333332,2,3976024m,1500,3/3,3
2026-05-17T12:03:08+01:00,2685.0063999999998,2,3976024m,1500,3/3,3
2026-05-17T12:03:14+01:00,3398.242926666667,3,3333211m,1500,3/4,3
2026-05-17T12:03:18+01:00,3715.44595,3,3333211m,1500,4/4,4
2026-05-17T12:03:24+01:00,2760.09654,3,3333211m,1500,4/4,4
2026-05-17T12:03:28+01:00,3207.5253649999995,4,3441867m,1500,4/5,4
2026-05-17T12:03:33+01:00,3760.4770799999997,4,3441867m,1500,5/5,5
2026-05-17T12:03:38+01:00,2805.0722844444444,4,3441867m,1500,5/5,5
2026-05-17T12:03:43+01:00,3377.4619866666667,5,3488457m,1500,5/5,5
2026-05-17T12:03:48+01:00,3936.5062898391443,5,3488457m,1500,5/5,5
2026-05-17T12:03:53+01:00,3804.4131866666667,5,3488457m,1500,5/5,5
2026-05-17T12:03:58+01:00,3655.47405,5,3909022m,1500,5/5,5
2026-05-17T12:04:03+01:00,4167,5,3909022m,1500,5/5,5
2026-05-17T12:04:08+01:00,4165.96,5,3909022m,1500,5/5,5
2026-05-17T12:04:13+01:00,4167.020127245809,5,4167020m,1500,5/5,5
2026-05-17T12:04:18+01:00,4166.04,5,4167020m,1500,5/5,5
2026-05-17T12:04:23+01:00,4165.92,5,4167020m,1500,5/5,5
2026-05-17T12:04:28+01:00,4165.68,5,4165680m,1500,5/5,5
2026-05-17T12:04:33+01:00,3417.08,5,4165680m,1500,5/5,5
2026-05-17T12:04:38+01:00,2583.409990801104,5,4165680m,1500,5/5,5
2026-05-17T12:04:44+01:00,1750.3600000000001,5,917200m,1500,5/5,5
2026-05-17T12:04:50+01:00,917.2,5,917200m,1500,5/5,5
2026-05-17T12:04:55+01:00,83.8,5,917200m,1500,5/5,5
2026-05-17T12:05:00+01:00,0,5,0,1500,5/5,5
2026-05-17T12:05:05+01:00,0,5,0,1500,5/5,5
2026-05-17T12:05:10+01:00,0,5,0,1500,5/5,5
2026-05-17T12:05:15+01:00,0,5,0,1500,5/5,5
2026-05-17T12:05:20+01:00,0,5,0,1500,5/5,5
2026-05-17T12:05:25+01:00,0,5,0,1500,5/5,5
2026-05-17T12:05:30+01:00,0,5,0,1500,4/4,4
2026-05-17T12:05:35+01:00,0,5,0,1500,4/4,4
2026-05-17T12:05:40+01:00,0,5,0,1500,4/4,4
2026-05-17T12:05:45+01:00,0,4,0,1500,3/3,3
2026-05-17T12:05:50+01:00,0,4,0,1500,3/3,3
2026-05-17T12:05:55+01:00,0,4,0,1500,3/3,3
2026-05-17T12:06:00+01:00,0,3,0,1500,2/2,2
2026-05-17T12:06:05+01:00,0,3,0,1500,2/2,2
2026-05-17T12:06:11+01:00,0,3,0,1500,2/2,2
2026-05-17T12:06:16+01:00,0,2,0,1500,1/1,1
2026-05-17T12:06:21+01:00,0,2,0,1500,1/1,1
2026-05-17T12:06:26+01:00,0,2,0,1500,1/1,1
2026-05-17T12:06:31+01:00,0,1,0,1500,1/1,1
2026-05-17T12:06:36+01:00,0,1,0,1500,1/1,1
