ts_iso,metric_value_raw,hpa_replicas,hpa_current,hpa_target,deploy_ready,deploy_replicas
2026-03-12T01:33:48+00:00,0,1,0,4k,1/1,1
2026-03-12T01:33:50+00:00,0,1,0,4k,1/1,1
2026-03-12T01:33:53+00:00,0,1,0,4k,1/1,1
2026-03-12T01:33:55+00:00,0,1,0,4k,1/1,1
2026-03-12T01:33:57+00:00,0,1,0,4k,1/1,1
2026-03-12T01:33:59+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:01+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:03+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:05+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:08+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:10+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:12+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:14+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:16+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:18+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:20+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:23+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:25+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:27+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:29+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:31+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:33+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:35+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:38+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:40+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:42+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:44+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:46+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:48+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:50+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:53+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:55+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:57+00:00,0,1,0,4k,1/1,1
2026-03-12T01:34:59+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:01+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:03+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:05+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:08+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:10+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:12+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:14+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:16+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:18+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:20+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:23+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:25+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:27+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:29+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:31+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:33+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:35+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:38+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:40+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:42+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:44+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:46+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:48+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:50+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:52+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:55+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:57+00:00,0,1,0,4k,1/1,1
2026-03-12T01:35:59+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:01+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:03+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:05+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:07+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:10+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:12+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:14+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:16+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:18+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:20+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:22+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:25+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:27+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:29+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:31+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:33+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:35+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:38+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:40+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:42+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:44+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:46+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:48+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:51+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:53+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:55+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:57+00:00,0,1,0,4k,1/1,1
2026-03-12T01:36:59+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:01+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:03+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:06+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:08+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:10+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:12+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:14+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:16+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:18+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:21+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:23+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:25+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:27+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:29+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:31+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:33+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:36+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:38+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:40+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:42+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:44+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:46+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:48+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:51+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:53+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:55+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:57+00:00,0,1,0,4k,1/1,1
2026-03-12T01:37:59+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:01+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:03+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:06+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:08+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:10+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:12+00:00,0,1,0,4k,1/1,1
2026-03-12T01:38:14+00:00,0,1,0,4k,1/1,1
