ts_iso,pps_prom,hpa_replicas,hpa_current,hpa_target,deploy_ready,deploy_replicas
2026-03-12T02:12:33+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:12:38+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:12:43+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:12:48+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:12:53+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:12:59+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:13:05+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:13:10+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:13:15+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:13:20+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:13:26+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:13:31+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:13:36+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:13:42+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:13:51+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:13:56+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:14:02+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:14:07+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:14:12+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:14:17+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:14:22+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:14:28+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:14:33+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:14:38+00:00,NA,1,0,4k,1/1,1
