ts_iso,pps_actual,pps_forecast,current_replicas,desired_replicas,action,scale_executed
2026-04-12T18:41:44+00:00,0.0,0.0,1,1,hold,False
2026-04-12T18:41:53+00:00,0.0,0.0,1,1,hold,False
2026-04-12T18:42:02+00:00,0.0,0.0,1,1,hold,False
2026-04-12T18:42:11+00:00,0.0,0.0,1,1,hold,False
2026-04-12T18:42:20+00:00,0.0,0.0,1,1,hold,False
2026-04-12T18:42:29+00:00,7.6,7.6,1,1,hold,False
2026-04-12T18:42:38+00:00,424.28,424.28,1,1,hold,False
2026-04-12T18:42:47+00:00,632.6,632.6,1,1,hold,False
2026-04-12T18:42:56+00:00,1041.68,1041.68,1,1,hold,False
2026-04-12T18:43:05+00:00,1041.64,1041.64,1,1,hold,False
2026-04-12T18:43:16+00:00,1041.68,943.09,1,1,hold,False
2026-04-12T18:43:25+00:00,1041.56,1069.58,1,1,hold,False
2026-04-12T18:43:33+00:00,1034.76,1093.56,1,1,hold,False
2026-04-12T18:43:42+00:00,618.08,362.18,1,1,hold,False
2026-04-12T18:43:51+00:00,201.48,0,1,1,hold,False
2026-04-12T18:44:00+00:00,0.2,0,1,1,hold,False
2026-04-12T18:44:09+00:00,1662.24,1845.36,1,2,scale_up,True
2026-04-12T18:44:19+00:00,2472.68,1419.7,2,1,hold,False
2026-04-12T18:44:27+00:00,3793.75,3723.45,2,3,hold,False
2026-04-12T18:44:36+00:00,3382.09,3735.77,2,3,hold,False
2026-04-12T18:44:45+00:00,4167.04,4148.13,2,3,scale_up,True
2026-04-12T18:44:55+00:00,3918.0,4297.27,3,3,hold,False
2026-04-12T18:45:03+00:00,3664.13,2787.31,3,2,hold,False
2026-04-12T18:45:12+00:00,3219.09,3134.49,3,3,hold,False
2026-04-12T18:45:21+00:00,4166.64,5295.7,3,4,scale_up,True
2026-04-12T18:45:30+00:00,3986.16,4209.26,4,3,hold,False
2026-04-12T18:45:39+00:00,3525.82,2949.41,4,2,hold,False
2026-04-12T18:45:48+00:00,3518.1,3762.35,4,3,hold,False
2026-04-12T18:45:57+00:00,4160.52,4282.88,4,3,scale_down,True
2026-04-12T18:46:06+00:00,2972.36,2823.48,3,2,hold,False
2026-04-12T18:46:15+00:00,2143.58,1793.21,3,2,hold,False
2026-04-12T18:46:24+00:00,475.8,0,3,1,hold,False
2026-04-12T18:46:33+00:00,0.08,0,3,1,scale_down,True
2026-04-12T18:46:42+00:00,0.04,427.96,1,1,hold,False
2026-04-12T18:46:51+00:00,0.0,0,1,1,hold,False
2026-04-12T18:47:00+00:00,0.0,202.32,1,1,hold,False
2026-04-12T18:47:10+00:00,0.0,0,1,1,hold,False
2026-04-12T18:47:19+00:00,0.0,59.55,1,1,hold,False
2026-04-12T18:47:27+00:00,0.0,318.52,1,1,hold,False
2026-04-12T18:47:37+00:00,0.0,49.14,1,1,hold,False
2026-04-12T18:47:46+00:00,0.0,0,1,1,hold,False
2026-04-12T18:47:55+00:00,0.04,21.55,1,1,hold,False
2026-04-12T18:48:03+00:00,0.04,0,1,1,hold,False
2026-04-12T18:48:12+00:00,0.04,0,1,1,hold,False
2026-04-12T18:48:21+00:00,0.0,0,1,1,hold,False
