episode,total_reward
0,-752.0
1,-1484.0
2,-1601.0
3,-1810.0
4,-597.0
5,-1635.0
6,-110.0
7,-854.0
8,-1508.0
9,-289.0
10,-541.0
11,-1125.0
12,-1162.0
13,-951.0
14,-1246.0
15,-1846.0
16,-637.0
17,-1353.0
18,-182.0
19,-2589.0
20,-593.0
21,-1575.0
22,-19.0
23,-921.0
24,-353.0
25,-1162.0
26,-180.0
27,-1607.0
28,-405.0
29,-323.0
30,-83.0
31,-720.0
32,-632.0
33,-471.0
34,-937.0
35,-245.0
36,-1010.0
37,-953.0
38,-1165.0
39,-450.0
40,-354.0
41,-1151.0
42,-1360.0
43,-160.0
44,-302.0
45,-201.0
46,-384.0
47,-237.0
48,-225.0
49,-302.0
50,-375.0
51,-458.0
52,-118.0
53,-663.0
54,-761.0
55,35.0
56,-46.0
57,-844.0
58,-98.0
59,-158.0
60,-42.0
61,48.0
62,-31.0
63,-100.0
64,-229.0
65,371.0
66,-584.0
67,-305.0
68,41.0
69,155.0
70,-176.0
71,-93.0
72,-307.0
73,-323.0
74,22.0
75,-15.0
76,94.0
77,780.0
78,-191.0
79,-80.0
80,-284.0
81,7.0
82,116.0
83,100.0
84,-90.0
85,134.0
86,422.0
87,-429.0
88,-382.0
89,563.0
90,-319.0
91,346.0
92,-56.0
93,418.0
94,472.0
95,55.0
96,175.0
97,112.0
98,-18.0
99,80.0
100,-212.0
101,204.0
102,528.0
103,69.0
104,-47.0
105,651.0
106,199.0
107,582.0
108,435.0
109,162.0
110,-46.0
111,337.0
112,710.0
113,401.0
114,362.0
115,188.0
116,637.0
117,422.0
118,84.0
119,230.0
120,561.0
121,255.0
122,439.0
123,142.0
124,261.0
125,291.0
126,557.0
127,87.0
128,252.0
129,1113.0
130,637.0
131,392.0
132,-85.0
133,659.0
134,223.0
135,223.0
136,229.0
137,451.0
138,207.0
139,349.0
140,409.0
141,568.0
142,181.0
143,730.0
144,1038.0
145,265.0
146,91.0
147,15.0
148,901.0
149,532.0
150,502.0
151,1216.0
152,310.0
153,632.0
154,499.0
155,920.0
156,1370.0
157,823.0
158,197.0
159,1102.0
160,66.0
161,605.0
162,428.0
163,333.0
164,955.0
165,856.0
166,1034.0
167,234.0
168,988.0
169,565.0
170,920.0
171,300.0
172,438.0
173,1112.0
174,675.0
175,813.0
176,1116.0
177,1070.0
178,1064.0
179,582.0
180,354.0
181,1250.0
182,620.0
183,900.0
184,713.0
185,1163.0
186,338.0
187,618.0
188,827.0
189,283.0
190,373.0
191,385.0
192,1222.0
193,335.0
194,474.0
195,583.0
196,817.0
197,898.0
198,618.0
199,762.0
200,439.0
201,534.0
202,321.0
203,330.0
204,968.0
205,1425.0
206,453.0
207,136.0
208,76.0
209,443.0
210,1168.0
211,1231.0
212,1193.0
213,460.0
214,591.0
215,311.0
216,709.0
217,1185.0
218,762.0
219,680.0
220,1276.0
221,408.0
222,479.0
223,918.0
224,1163.0
225,1027.0
226,458.0
227,1388.0
228,505.0
229,297.0
230,644.0
231,528.0
232,872.0
233,718.0
234,333.0
235,826.0
236,965.0
237,790.0
238,799.0
239,468.0
240,425.0
241,284.0
242,1072.0
243,1540.0
244,269.0
245,854.0
246,1526.0
247,1408.0
248,848.0
249,866.0
250,364.0
251,1321.0
252,511.0
253,1407.0
254,1048.0
255,777.0
256,1499.0
257,1609.0
258,1340.0
