ts_iso,pps_prom,hpa_replicas,hpa_current,hpa_target,deploy_ready,deploy_replicas
2026-04-13T22:58:15+01:00,0,1,0,1500,1/1,1
2026-04-13T22:58:21+01:00,0,1,0,1500,1/1,1
2026-04-13T22:58:27+01:00,0,1,0,1500,1/1,1
2026-04-13T22:58:33+01:00,0,1,0,1500,1/1,1
2026-04-13T22:58:40+01:00,0,1,0,1500,1/1,1
2026-04-13T22:58:46+01:00,0,1,0,1500,1/1,1
2026-04-13T22:58:52+01:00,0,1,0,1500,1/1,1
2026-04-13T22:58:58+01:00,0,1,0,1500,1/1,1
2026-04-13T22:59:04+01:00,0,1,0,1500,1/1,1
2026-04-13T22:59:10+01:00,0,1,0,1500,1/1,1
2026-04-13T22:59:16+01:00,0,1,0,1500,1/1,1
2026-04-13T22:59:22+01:00,0,1,0,1500,1/1,1
2026-04-13T22:59:28+01:00,0,1,0,1500,1/1,1
