episode,total_reward
0,-282.0
1,-302.0
2,-512.0
3,-604.0
4,-345.0
5,-2381.0
6,-1079.0
7,-1480.0
8,-2369.0
9,-1219.0
10,-844.0
11,-1028.0
12,-1386.0
13,-474.0
14,-582.0
15,-559.0
16,-230.0
17,-929.0
18,-1734.0
19,-434.0
20,-2224.0
21,-1383.0
22,-751.0
23,-285.0
24,-967.0
25,-431.0
26,-816.0
27,-805.0
28,-1052.0
29,-102.0
30,-1172.0
31,-359.0
32,-773.0
33,-408.0
34,-140.0
35,-179.0
36,-738.0
37,-1131.0
38,-1264.0
39,-916.0
40,-307.0
41,-1387.0
42,55.0
43,-532.0
44,-275.0
45,-399.0
46,-751.0
47,59.0
48,-643.0
49,-20.0
50,-830.0
51,-628.0
52,-133.0
53,-596.0
54,-571.0
55,469.0
56,258.0
57,-59.0
58,40.0
59,-718.0
60,-339.0
61,205.0
62,-302.0
63,165.0
64,-88.0
65,-156.0
66,-423.0
67,133.0
68,-16.0
69,158.0
70,211.0
71,-200.0
72,18.0
73,149.0
74,-302.0
75,-180.0
76,207.0
77,-168.0
78,-417.0
79,-228.0
80,253.0
81,-98.0
82,238.0
83,407.0
84,1.0
85,208.0
86,17.0
87,-449.0
88,123.0
89,346.0
90,-506.0
91,-331.0
92,570.0
93,9.0
94,566.0
95,465.0
96,512.0
97,-219.0
98,169.0
99,552.0
100,178.0
101,26.0
102,-186.0
103,899.0
104,105.0
105,878.0
106,211.0
107,412.0
108,760.0
109,155.0
110,625.0
111,161.0
112,653.0
113,-397.0
114,684.0
115,-69.0
116,115.0
117,144.0
118,369.0
119,543.0
120,276.0
121,542.0
122,631.0
123,295.0
124,34.0
125,227.0
126,318.0
127,129.0
128,224.0
129,143.0
130,477.0
131,200.0
132,1117.0
133,68.0
134,-213.0
135,331.0
136,87.0
137,89.0
138,-390.0
139,863.0
140,967.0
141,375.0
142,830.0
143,10.0
144,282.0
145,641.0
146,1013.0
147,1054.0
148,965.0
149,572.0
150,188.0
151,927.0
152,375.0
153,693.0
154,360.0
155,1003.0
156,737.0
157,403.0
158,244.0
159,935.0
160,300.0
161,776.0
162,215.0
163,874.0
164,385.0
165,1138.0
166,648.0
167,364.0
168,530.0
169,389.0
170,907.0
171,925.0
172,1236.0
173,584.0
174,1255.0
175,844.0
176,1112.0
177,534.0
178,1152.0
179,1132.0
180,128.0
181,712.0
182,469.0
183,478.0
184,863.0
185,766.0
186,427.0
187,330.0
188,382.0
189,1222.0
190,887.0
191,553.0
192,384.0
193,476.0
194,814.0
195,170.0
196,902.0
197,1284.0
198,341.0
199,52.0
200,1427.0
201,841.0
202,1178.0
203,1502.0
204,1439.0
205,378.0
206,1474.0
207,360.0
208,1276.0
209,1023.0
210,877.0
211,1118.0
212,312.0
213,149.0
214,758.0
215,553.0
216,907.0
217,964.0
218,800.0
219,1195.0
220,716.0
221,423.0
222,1329.0
223,1335.0
224,597.0
225,757.0
226,1449.0
227,1279.0
228,517.0
229,518.0
230,1554.0
231,1044.0
232,501.0
233,770.0
234,1392.0
235,593.0
236,784.0
237,469.0
238,787.0
239,1470.0
240,712.0
241,445.0
242,841.0
243,394.0
244,1571.0
245,419.0
246,814.0
247,1397.0
248,941.0
249,376.0
250,1445.0
251,873.0
252,1088.0
253,1543.0
254,1295.0
255,1472.0
256,673.0
257,499.0
258,1414.0
259,1298.0
260,420.0
261,543.0
262,565.0
263,827.0
264,901.0
265,513.0
266,875.0
267,347.0
268,1211.0
269,1584.0
270,515.0
271,985.0
272,1293.0
273,1592.0
274,415.0
275,754.0
276,1447.0
277,891.0
278,1604.0
279,777.0
280,1609.0
281,1586.0
282,471.0
283,1560.0
284,498.0
285,1556.0
286,1498.0
287,506.0
288,1436.0
289,1446.0
290,1406.0
291,918.0
292,441.0
293,530.0
294,497.0
295,865.0
296,353.0
297,919.0
298,1576.0
299,505.0
300,344.0
301,1027.0
302,1530.0
303,532.0
304,1380.0
305,1581.0
306,1465.0
307,513.0
308,530.0
309,1638.0
310,1538.0
311,1598.0
312,492.0
313,1006.0
314,486.0
315,446.0
316,1606.0
317,1688.0
318,1675.0
319,1736.0
320,1004.0
321,1013.0
322,571.0
323,581.0
324,994.0
325,390.0
326,1562.0
327,472.0
328,469.0
329,1078.0
330,1056.0
331,447.0
332,969.0
333,582.0
334,543.0
335,587.0
336,1534.0
337,872.0
338,514.0
339,946.0
340,559.0
341,1740.0
342,534.0
343,942.0
344,420.0
345,1529.0
346,921.0
347,1527.0
348,529.0
349,581.0
350,1574.0
351,1722.0
352,423.0
353,898.0
354,1702.0
355,1606.0
356,1718.0
357,1035.0
358,563.0
359,1720.0
360,1602.0
361,937.0
362,526.0
363,1024.0
364,511.0
365,1760.0
366,569.0
367,522.0
368,446.0
369,1161.0
370,1467.0
371,1601.0
372,1777.0
373,1722.0
374,1708.0
375,588.0
376,1055.0
377,601.0
378,483.0
379,529.0
380,1561.0
381,516.0
382,1721.0
383,1015.0
384,1052.0
385,1700.0
386,586.0
387,422.0
388,1005.0
389,530.0
390,1737.0
391,1038.0
392,1101.0
393,529.0
394,424.0
395,1077.0
396,427.0
397,574.0
398,1104.0
399,989.0
400,1103.0
401,1747.0
402,1058.0
403,1813.0
404,1730.0
405,1795.0
406,1612.0
407,1610.0
408,908.0
409,1720.0
410,1618.0
411,1071.0
412,939.0
413,1047.0
414,1571.0
415,565.0
416,570.0
417,588.0
418,605.0
419,938.0
420,1066.0
421,1696.0
422,1073.0
423,585.0
424,586.0
425,1020.0
426,1033.0
427,623.0
428,1675.0
429,549.0
430,1742.0
431,624.0
432,1144.0
433,948.0
434,1885.0
435,588.0
436,569.0
437,1126.0
438,1079.0
439,1814.0
440,1761.0
441,539.0
442,1756.0
443,972.0
444,559.0
445,1106.0
446,624.0
447,1813.0
448,1184.0
449,1728.0
450,642.0
451,1052.0
452,551.0
453,568.0
454,1867.0
455,1121.0
456,569.0
457,1054.0
458,1104.0
459,606.0
460,1718.0
461,572.0
462,1158.0
463,588.0
464,1140.0
465,1161.0
466,1198.0
467,606.0
468,547.0
469,1025.0
470,582.0
471,1144.0
472,1104.0
473,624.0
474,606.0
475,605.0
476,439.0
477,1809.0
478,1827.0
479,1130.0
480,1796.0
481,1009.0
482,1055.0
483,1715.0
484,1090.0
485,509.0
486,587.0
487,620.0
488,1723.0
489,1138.0
490,1690.0
491,1831.0
492,1107.0
493,454.0
494,1144.0
495,1099.0
496,623.0
497,1158.0
498,1123.0
499,1161.0
500,1145.0
501,1126.0
502,534.0
503,1850.0
504,1068.0
505,606.0
506,1162.0
507,1761.0
508,1839.0
509,1100.0
510,1023.0
511,1065.0
512,1826.0
513,1836.0
514,516.0
515,1868.0
516,1758.0
517,1723.0
518,600.0
519,505.0
520,600.0
521,1759.0
522,606.0
523,1833.0
524,1838.0
525,1796.0
526,642.0
527,1800.0
528,1777.0
529,1719.0
530,1066.0
531,584.0
532,1108.0
533,1886.0
534,1767.0
535,1059.0
536,1121.0
537,584.0
538,1793.0
539,606.0
540,1832.0
541,624.0
542,1133.0
543,1813.0
544,1156.0
545,1180.0
546,1868.0
547,1796.0
548,588.0
549,1089.0
550,1216.0
551,1167.0
552,1180.0
553,1092.0
554,1781.0
555,1086.0
556,1122.0
557,1103.0
558,581.0
559,1090.0
560,1199.0
561,642.0
562,1198.0
563,642.0
564,1832.0
565,1850.0
566,1110.0
567,1129.0
568,624.0
569,1162.0
570,1882.0
571,1178.0
572,606.0
573,624.0
574,548.0
575,1868.0
576,1143.0
577,1875.0
578,606.0
579,1814.0
580,1826.0
581,605.0
582,624.0
583,1042.0
584,1868.0
585,606.0
586,1773.0
587,624.0
588,601.0
589,624.0
590,601.0
591,1850.0
592,1176.0
593,1852.0
594,642.0
595,566.0
596,1808.0
597,588.0
598,1814.0
599,607.0
600,1849.0
601,1198.0
602,606.0
603,623.0
604,606.0
605,1864.0
606,1017.0
607,642.0
608,580.0
609,1886.0
610,1198.0
611,582.0
612,1198.0
613,1867.0
614,1830.0
615,1198.0
616,1849.0
617,1148.0
618,624.0
619,1849.0
620,1180.0
621,1107.0
622,1198.0
623,1123.0
624,624.0
625,551.0
626,1869.0
627,1133.0
628,624.0
629,1194.0
630,1198.0
631,557.0
632,606.0
633,642.0
634,535.0
635,1180.0
636,1140.0
637,624.0
638,1851.0
639,1174.0
640,1868.0
641,606.0
642,1903.0
643,642.0
644,1176.0
645,1216.0
646,624.0
647,1824.0
648,1111.0
649,1162.0
650,642.0
651,642.0
652,1839.0
653,1198.0
654,1886.0
655,1828.0
656,1806.0
657,577.0
658,607.0
659,1162.0
660,623.0
661,624.0
662,1820.0
663,1868.0
664,1197.0
665,1198.0
666,605.0
667,1180.0
668,577.0
669,1857.0
670,1886.0
671,1129.0
672,1818.0
673,1180.0
674,1867.0
675,1868.0
676,1812.0
677,1887.0
678,1867.0
679,642.0
680,1885.0
681,624.0
682,1180.0
683,1162.0
684,1162.0
685,1795.0
686,1868.0
687,1180.0
688,642.0
689,1180.0
690,1904.0
691,1180.0
692,1180.0
693,1868.0
694,1179.0
695,1179.0
696,624.0
697,1832.0
698,1834.0
699,1176.0
700,1886.0
701,1198.0
702,1803.0
703,564.0
704,1216.0
705,1922.0
706,1820.0
707,1865.0
708,1180.0
709,1198.0
710,600.0
711,587.0
712,1180.0
713,563.0
714,1216.0
715,1886.0
716,1922.0
717,1885.0
718,642.0
719,1849.0
720,1216.0
721,642.0
722,584.0
723,1922.0
724,1849.0
725,1886.0
726,1849.0
727,642.0
728,642.0
729,1900.0
730,1198.0
731,1868.0
732,1850.0
733,1176.0
734,642.0
735,624.0
736,1904.0
737,1216.0
738,642.0
739,1904.0
740,1199.0
741,1886.0
742,1922.0
743,624.0
744,642.0
745,1194.0
746,1922.0
747,1922.0
748,577.0
749,623.0
750,596.0
751,1085.0
752,583.0
753,1886.0
754,1904.0
755,1886.0
756,619.0
757,1904.0
758,1885.0
759,1904.0
760,1904.0
761,642.0
762,577.0
763,623.0
764,1863.0
765,1882.0
766,1850.0
767,1126.0
768,1904.0
769,602.0
770,1181.0
771,1904.0
772,1904.0
773,642.0
774,1904.0
775,1904.0
776,642.0
777,605.0
778,1197.0
779,642.0
780,1198.0
781,1904.0
782,1196.0
783,1198.0
784,1216.0
785,1904.0
786,563.0
787,1198.0
788,606.0
789,600.0
790,1151.0
791,642.0
792,619.0
793,600.0
794,1904.0
795,581.0
796,1849.0
797,1882.0
798,619.0
799,642.0
800,1922.0
801,1199.0
802,624.0
803,1163.0
804,1904.0
805,1922.0
806,624.0
807,642.0
808,642.0
809,1181.0
810,1198.0
811,1163.0
812,1904.0
813,624.0
814,642.0
815,1862.0
816,1180.0
817,624.0
818,600.0
819,642.0
820,1904.0
821,1161.0
822,592.0
823,1192.0
824,1198.0
825,642.0
826,642.0
827,642.0
828,642.0
829,1845.0
830,1922.0
831,642.0
832,1863.0
833,624.0
834,1904.0
835,1176.0
836,619.0
837,1904.0
838,1177.0
839,1134.0
840,1198.0
841,1216.0
842,1904.0
843,1922.0
844,1216.0
845,1904.0
846,1158.0
847,1922.0
848,642.0
849,1216.0
850,619.0
851,606.0
852,1903.0
853,1886.0
854,642.0
855,1903.0
856,1093.0
857,1166.0
858,1216.0
859,642.0
860,1180.0
861,1922.0
862,1922.0
863,596.0
864,642.0
865,1216.0
866,595.0
867,1162.0
868,1922.0
869,619.0
870,1216.0
871,624.0
872,578.0
873,619.0
874,1922.0
875,619.0
876,1216.0
877,1885.0
878,1922.0
879,642.0
880,596.0
881,1866.0
882,1114.0
883,624.0
884,601.0
885,642.0
886,1903.0
887,1216.0
888,1216.0
889,1922.0
890,1198.0
891,642.0
892,1216.0
893,642.0
894,1922.0
895,1216.0
896,1216.0
897,1216.0
898,1922.0
899,1904.0
900,1904.0
901,1216.0
902,642.0
903,1903.0
904,624.0
905,1904.0
906,1845.0
907,1198.0
908,1922.0
909,1904.0
910,1197.0
911,1216.0
912,642.0
913,1198.0
914,1922.0
915,1886.0
916,1216.0
917,619.0
918,1886.0
919,1922.0
920,1216.0
921,1886.0
922,1857.0
923,1216.0
924,1904.0
925,642.0
926,1880.0
927,1198.0
928,1904.0
929,619.0
930,1904.0
931,1900.0
932,642.0
933,1216.0
934,624.0
935,1216.0
936,1216.0
937,1880.0
938,1922.0
939,619.0
940,601.0
941,1198.0
942,642.0
943,1216.0
944,642.0
945,619.0
946,624.0
947,1198.0
948,1216.0
949,642.0
950,619.0
951,1216.0
952,1867.0
953,1904.0
954,642.0
955,601.0
956,642.0
957,619.0
958,1904.0
959,1922.0
960,1180.0
961,619.0
962,619.0
963,642.0
964,1198.0
965,1922.0
966,1899.0
967,1886.0
968,1151.0
969,1193.0
970,1922.0
971,642.0
972,1197.0
973,642.0
974,625.0
975,1886.0
976,1857.0
977,642.0
978,1216.0
979,1922.0
980,1922.0
981,1198.0
982,642.0
983,601.0
984,642.0
985,1922.0
986,1922.0
987,620.0
988,1216.0
989,624.0
990,642.0
991,1904.0
992,642.0
993,642.0
994,1904.0
995,1216.0
996,1922.0
997,1922.0
998,1216.0
999,1922.0
1000,1179.0
1001,1216.0
1002,1922.0
1003,1197.0
1004,642.0
1005,642.0
1006,1215.0
1007,1129.0
1008,642.0
1009,1922.0
1010,1904.0
1011,1922.0
1012,603.0
1013,642.0
1014,642.0
1015,1904.0
1016,1107.0
1017,642.0
1018,1194.0
1019,642.0
1020,1216.0
1021,642.0
1022,642.0
1023,1904.0
1024,1922.0
1025,1198.0
1026,1216.0
1027,1169.0
1028,642.0
1029,1143.0
1030,1886.0
1031,642.0
1032,1180.0
1033,623.0
1034,642.0
1035,642.0
1036,623.0
1037,1198.0
1038,642.0
1039,642.0
1040,1216.0
1041,1904.0
1042,624.0
1043,1904.0
1044,1886.0
1045,592.0
1046,1922.0
1047,1904.0
1048,1198.0
1049,1922.0
1050,596.0
1051,642.0
1052,1216.0
1053,1867.0
1054,1216.0
1055,1198.0
1056,1922.0
1057,1922.0
1058,619.0
1059,1216.0
1060,1922.0
1061,1197.0
1062,1197.0
1063,1129.0
1064,1922.0
1065,642.0
1066,600.0
1067,1922.0
1068,619.0
1069,1179.0
1070,619.0
1071,596.0
1072,1904.0
1073,1216.0
1074,642.0
1075,1197.0
1076,1216.0
1077,1904.0
1078,642.0
1079,1922.0
1080,1886.0
1081,1162.0
1082,642.0
1083,1193.0
1084,1886.0
1085,1216.0
1086,1216.0
1087,1885.0
1088,619.0
1089,1180.0
1090,1216.0
1091,642.0
1092,642.0
1093,1864.0
1094,1904.0
1095,1904.0
1096,1922.0
1097,1180.0
1098,1866.0
1099,1904.0
1100,619.0
1101,1904.0
1102,619.0
1103,619.0
1104,642.0
1105,1198.0
1106,642.0
1107,601.0
1108,1147.0
1109,1900.0
1110,1886.0
1111,1904.0
1112,1904.0
1113,1922.0
1114,1198.0
1115,1904.0
1116,1884.0
1117,1216.0
1118,625.0
1119,1857.0
1120,1922.0
1121,1216.0
1122,1216.0
1123,583.0
1124,624.0
1125,1175.0
1126,1904.0
1127,1216.0
1128,1198.0
1129,1216.0
1130,1216.0
1131,1216.0
1132,1216.0
1133,1165.0
1134,1903.0
1135,1198.0
1136,1216.0
1137,642.0
1138,1904.0
1139,1198.0
1140,642.0
1141,642.0
1142,1922.0
1143,624.0
1144,1198.0
1145,619.0
1146,1216.0
1147,1922.0
1148,623.0
1149,1904.0
1150,1216.0
1151,642.0
1152,582.0
1153,1904.0
1154,1922.0
1155,642.0
1156,1903.0
1157,1216.0
1158,642.0
1159,1886.0
1160,1198.0
1161,1922.0
1162,1922.0
1163,619.0
1164,1216.0
1165,642.0
1166,619.0
1167,1904.0
1168,642.0
1169,1922.0
1170,1867.0
1171,642.0
1172,1903.0
1173,1922.0
1174,1198.0
1175,1887.0
1176,642.0
1177,1216.0
1178,1216.0
1179,642.0
1180,642.0
1181,1904.0
1182,1885.0
1183,1199.0
1184,624.0
1185,624.0
1186,1216.0
1187,1198.0
1188,1922.0
1189,1216.0
1190,1216.0
1191,1922.0
1192,1922.0
1193,1216.0
1194,642.0
1195,592.0
1196,642.0
1197,1216.0
1198,1904.0
1199,642.0
1200,1904.0
1201,1216.0
1202,1882.0
1203,1922.0
1204,1216.0
1205,1922.0
1206,1904.0
1207,1886.0
1208,1922.0
1209,1216.0
1210,1216.0
1211,1216.0
1212,1903.0
1213,1216.0
1214,1216.0
1215,1922.0
1216,1922.0
1217,1903.0
1218,1216.0
1219,642.0
1220,1904.0
1221,642.0
1222,1904.0
1223,642.0
1224,642.0
1225,1922.0
1226,619.0
1227,1216.0
1228,642.0
1229,1216.0
1230,624.0
1231,642.0
1232,595.0
1233,1904.0
1234,1904.0
1235,1194.0
1236,642.0
1237,1922.0
1238,1216.0
1239,1922.0
1240,624.0
1241,1886.0
1242,619.0
1243,1192.0
1244,1870.0
1245,1197.0
1246,624.0
1247,1886.0
1248,642.0
1249,1216.0
1250,1215.0
1251,596.0
1252,1198.0
1253,1197.0
1254,624.0
1255,1198.0
1256,642.0
1257,1216.0
1258,1922.0
1259,1197.0
1260,1849.0
1261,619.0
1262,1904.0
1263,1216.0
1264,1198.0
1265,642.0
1266,1216.0
1267,1904.0
1268,607.0
1269,642.0
1270,1922.0
1271,1198.0
1272,1216.0
1273,624.0
1274,603.0
1275,1216.0
1276,642.0
1277,1216.0
1278,1922.0
1279,619.0
1280,642.0
