ts_iso,pps_prom,hpa_replicas,hpa_current,hpa_target,deploy_ready,deploy_replicas
2026-05-26T12:50:25+01:00,0,1,0,1500,1/1,1
2026-05-26T12:50:30+01:00,0,1,0,1500,1/1,1
2026-05-26T12:50:36+01:00,0,1,0,1500,1/1,1
2026-05-26T12:50:41+01:00,0,1,0,1500,1/1,1
2026-05-26T12:50:46+01:00,NA,1,0,1500,1/1,1
2026-05-26T12:50:52+01:00,0,1,0,1500,1/1,1
2026-05-26T12:50:57+01:00,88.8,1,0,1500,1/1,1
2026-05-26T12:51:02+01:00,297.188112475501,1,0,1500,1/1,1
2026-05-26T12:51:07+01:00,505.4997800087997,1,505499m,1500,1/1,1
2026-05-26T12:51:12+01:00,713.8114475420983,1,505499m,1500,1/1,1
2026-05-26T12:51:17+01:00,922.196887875515,1,505499m,1500,1/1,1
2026-05-26T12:51:22+01:00,1041.72,1,1041720m,1500,1/1,1
2026-05-26T12:51:27+01:00,1041.6416656666265,1,1041720m,1500,1/1,1
2026-05-26T12:51:32+01:00,1041.6816672666907,1,1041720m,1500,1/1,1
2026-05-26T12:51:37+01:00,1041.72,1,1041720m,1500,1/1,1
2026-05-26T12:51:42+01:00,1041.68,1,1041720m,1500,1/1,1
2026-05-26T12:51:49+01:00,1041.5983360665573,1,1041720m,1500,1/1,1
2026-05-26T12:51:53+01:00,1041.68,1,1041680m,1500,1/1,1
2026-05-26T12:51:59+01:00,953.52,1,1041680m,1500,1/1,1
2026-05-26T12:52:05+01:00,745.1498059922396,1,1041680m,1500,1/1,1
2026-05-26T12:52:10+01:00,536.84,1,536840m,1500,1/1,1
2026-05-26T12:52:15+01:00,328.52,1,536840m,1500,1/1,1
2026-05-26T12:52:21+01:00,120.19519219231232,1,0,1500,1/1,1
2026-05-26T12:52:26+01:00,0,1,0,1500,1/1,1
2026-05-26T12:52:31+01:00,300.88,1,0,1500,1/1,1
2026-05-26T12:52:36+01:00,1134.4,1,1967638m,1500,1/1,1
2026-05-26T12:52:41+01:00,1967.6387055482219,1,1967638m,1500,1/1,1
2026-05-26T12:52:46+01:00,2801.0320412816513,1,1967638m,1500,1/1,1
2026-05-26T12:52:51+01:00,3634.5453818152723,1,4166680m,1500,1/1,1
2026-05-26T12:52:57+01:00,4166.646665866634,1,4166680m,1500,1/1,1
2026-05-26T12:53:02+01:00,4166.706663466923,1,4166680m,1500,1/1,1
2026-05-26T12:53:07+01:00,4166.68,1,4166680m,1500,1/1,1
2026-05-26T12:53:12+01:00,4166.553337866486,1,4166680m,1500,1/1,1
2026-05-26T12:53:17+01:00,4166.72,1,4166680m,1500,1/1,1
2026-05-26T12:53:22+01:00,4166.8,1,4166800m,1500,1/1,1
2026-05-26T12:53:27+01:00,4166.77334186735,1,4166800m,1500,1/1,1
2026-05-26T12:53:32+01:00,4166.52,1,4166800m,1500,1/1,1
2026-05-26T12:53:37+01:00,4166.286651466058,1,4166286m,1500,1/1,1
2026-05-26T12:53:43+01:00,4166.32,1,4166286m,1500,1/1,1
2026-05-26T12:53:48+01:00,4166.066714662827,1,4166286m,1500,1/1,1
2026-05-26T12:53:53+01:00,4165.873365065398,1,4165873m,1500,1/1,1
2026-05-26T12:53:58+01:00,4165.953361865526,1,4165873m,1500,1/1,1
2026-05-26T12:54:03+01:00,4166.68,1,4165873m,1500,1/1,1
2026-05-26T12:54:08+01:00,4166.36,1,4166359m,1500,1/1,1
2026-05-26T12:54:13+01:00,4166.666666666667,1,4166359m,1500,1/1,1
2026-05-26T12:54:18+01:00,4167.006680267211,1,4166359m,1500,1/1,1
2026-05-26T12:54:23+01:00,4166.746660267178,1,4166746m,1500,1/1,1
2026-05-26T12:54:28+01:00,3866.2000000000003,1,4166746m,1500,1/1,1
2026-05-26T12:54:33+01:00,3033.16,1,4166746m,1500,1/1,1
2026-05-26T12:54:38+01:00,2198.1607357057173,1,2198160m,1500,1/1,1
2026-05-26T12:54:43+01:00,1366.2,1,2198160m,1500,1/1,1
2026-05-26T12:54:48+01:00,532.8639436732408,1,2198160m,1500,1/1,1
2026-05-26T12:54:53+01:00,0,1,0,1500,1/1,1
2026-05-26T12:54:58+01:00,0,1,0,1500,1/1,1
2026-05-26T12:55:03+01:00,0,1,0,1500,1/1,1
2026-05-26T12:55:08+01:00,0,1,0,1500,1/1,1
2026-05-26T12:55:13+01:00,0,1,0,1500,1/1,1
2026-05-26T12:55:18+01:00,0,1,0,1500,1/1,1
2026-05-26T12:55:23+01:00,0,1,0,1500,1/1,1
2026-05-26T12:55:29+01:00,0,1,0,1500,1/1,1
2026-05-26T12:55:33+01:00,0,1,0,1500,1/1,1
2026-05-26T12:55:39+01:00,0,1,0,1500,1/1,1
2026-05-26T12:55:43+01:00,0,1,0,1500,1/1,1
2026-05-26T12:55:49+01:00,0,1,0,1500,1/1,1
2026-05-26T12:55:54+01:00,0,1,0,1500,1/1,1
2026-05-26T12:55:59+01:00,0,1,0,1500,1/1,1
2026-05-26T12:56:04+01:00,0,1,0,1500,1/1,1
2026-05-26T12:56:09+01:00,0,1,0,1500,1/1,1
2026-05-26T12:56:14+01:00,0,1,0,1500,1/1,1
2026-05-26T12:56:19+01:00,0,1,0,1500,1/1,1
