ts_iso,pps_prom,hpa_replicas,hpa_current,hpa_target,deploy_ready,deploy_replicas
2026-03-12T02:15:40+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:15:46+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:15:52+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:15:57+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:16:02+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:16:07+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:16:12+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:16:17+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:16:22+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:16:27+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:16:32+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:16:37+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:16:42+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:16:47+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:16:52+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:16:57+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:17:03+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:17:08+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:17:13+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:17:18+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:17:23+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:17:28+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:17:33+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:17:38+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:17:43+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:17:48+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:17:53+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:17:58+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:18:04+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:18:09+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:18:14+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:18:19+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:18:24+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:18:29+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:18:34+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:18:39+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:18:44+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:18:49+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:18:55+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:19:00+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:19:05+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:19:10+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:19:15+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:19:19+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:19:24+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:19:30+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:19:36+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:19:41+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:19:46+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:19:51+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:19:56+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:20:01+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:20:06+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:20:11+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:20:16+00:00,NA,1,0,4k,1/1,1
2026-03-12T02:20:23+00:00,NA,1,0,4k,1/1,1
